day,hour,minute,temperature_C,power_W,pmv,ai_setpoint_C
182,0,10,23.09,0.0,-0.46,28.0
182,0,20,23.08,0.0,-0.46,28.0
182,0,30,23.08,0.0,-0.46,28.0
182,0,40,23.07,0.0,-0.46,28.0
182,0,50,23.07,0.0,-0.47,28.0
182,0,60,23.06,0.0,-0.47,28.0
182,1,10,23.06,0.0,-0.47,28.0
182,1,20,23.05,0.0,-0.48,28.0
182,1,30,23.04,0.0,-0.48,28.0
182,1,40,23.03,0.0,-0.48,28.0
182,1,50,23.02,0.0,-0.49,28.0
182,1,60,23.02,0.0,-0.49,28.0
182,2,10,23.01,0.0,-0.5,28.0
182,2,20,23.0,0.0,-0.5,28.0
182,2,30,22.99,0.0,-0.51,28.0
182,2,40,22.98,0.0,-0.51,28.0
182,2,50,22.97,0.0,-0.52,28.0
182,2,60,22.96,0.0,-0.52,28.0
182,3,10,22.95,0.0,-0.52,28.0
182,3,20,22.94,0.0,-0.53,28.0
182,3,30,22.93,0.0,-0.53,28.0
182,3,40,22.92,0.0,-0.54,28.0
182,3,50,22.91,0.0,-0.55,28.0
182,3,60,22.9,0.0,-0.55,28.0
182,4,10,22.89,0.0,-0.55,28.0
182,4,20,22.89,0.0,-0.56,28.0
182,4,30,22.88,0.0,-0.56,28.0
182,4,40,22.87,0.0,-0.56,28.0
182,4,50,22.87,0.0,-0.57,28.0
182,4,60,22.86,0.0,-0.57,28.0
182,5,10,22.86,0.0,-0.57,28.0
182,5,20,22.85,0.0,-0.58,28.0
182,5,30,22.84,0.0,-0.58,28.0
182,5,40,22.84,0.0,-0.58,28.0
182,5,50,22.83,0.0,-0.58,28.0
182,5,60,22.83,0.0,-0.58,28.0
182,6,15,22.83,0.0,-0.59,28.0
182,6,25,22.83,0.0,-0.59,28.0
182,6,35,22.83,0.0,-0.59,28.0
182,6,45,22.82,0.0,-0.59,28.0
182,6,55,22.82,0.0,-0.59,28.0
182,6,65,22.82,0.0,-0.59,28.0
182,7,15,22.83,0.0,-0.59,25.0
182,7,25,22.84,0.0,-0.58,25.0
182,7,35,22.84,0.0,-0.58,25.0
182,7,45,22.85,0.0,-0.57,25.0
182,7,55,22.86,0.0,-0.57,25.0
182,7,65,22.88,0.0,-0.56,25.0
182,8,15,22.89,0.0,-0.56,25.0
182,8,25,22.9,0.0,-0.55,25.0
182,8,35,22.91,0.0,-0.55,25.0
182,8,43,22.92,0.0,-0.54,25.0
182,8,53,22.93,0.0,-0.53,25.0
182,8,63,22.95,0.0,-0.53,25.0
182,9,13,22.96,0.0,-0.52,25.0
182,9,23,22.97,0.0,-0.51,25.0
182,9,33,22.99,0.0,-0.51,25.0
182,9,43,23.0,0.0,-0.5,25.0
182,9,53,23.02,0.0,-0.49,25.0
182,9,63,23.04,0.0,-0.48,25.0
182,10,13,23.05,0.0,-0.47,25.0
182,10,23,23.07,0.0,-0.46,25.0
182,10,35,23.09,0.0,-0.46,25.0
182,10,45,23.11,0.0,-0.45,25.0
182,10,55,23.12,0.0,-0.44,25.0
182,10,65,23.14,0.0,-0.43,25.0
182,11,10,23.16,0.0,-0.42,25.0
182,11,20,23.17,0.0,-0.42,25.0
182,11,30,23.18,0.0,-0.41,25.0
182,11,40,23.19,0.0,-0.41,25.0
182,11,50,23.19,0.0,-0.4,25.0
182,11,60,23.2,0.0,-0.4,25.0
182,12,10,23.21,0.0,-0.39,25.0
182,12,20,23.23,0.0,-0.38,25.0
182,12,30,23.25,0.0,-0.38,25.0
182,12,40,23.27,0.0,-0.37,25.0
182,12,50,23.28,0.0,-0.36,25.0
182,12,60,23.3,0.0,-0.35,25.0
182,13,10,23.31,0.0,-0.35,25.0
182,13,20,23.3,0.0,-0.35,25.0
182,13,30,23.3,0.0,-0.35,25.0
182,13,40,23.29,0.0,-0.36,25.0
182,13,50,23.28,0.0,-0.36,25.0
182,13,60,23.26,0.0,-0.37,25.0
182,14,10,23.26,0.0,-0.37,25.0
182,14,20,23.26,0.0,-0.37,25.0
182,14,30,23.26,0.0,-0.37,25.0
182,14,40,23.26,0.0,-0.37,25.0
182,14,55,23.26,0.0,-0.37,25.0
182,14,65,23.26,0.0,-0.37,25.0
182,15,13,23.25,0.0,-0.37,25.0
182,15,23,23.24,0.0,-0.38,25.0
182,15,33,23.21,0.0,-0.39,25.0
182,15,43,23.18,0.0,-0.41,25.0
182,15,53,23.16,0.0,-0.42,25.0
182,15,63,23.13,0.0,-0.44,25.0
182,16,13,23.1,0.0,-0.45,25.5
182,16,23,23.09,0.0,-0.46,25.5
182,16,33,23.07,0.0,-0.46,25.5
182,16,45,23.06,0.0,-0.47,25.5
182,16,55,23.05,0.0,-0.48,25.5
182,16,65,23.03,0.0,-0.48,25.5
182,17,15,23.03,0.0,-0.49,25.0
182,17,25,23.03,0.0,-0.49,25.0
182,17,35,23.03,0.0,-0.49,25.0
182,17,40,23.03,0.0,-0.48,25.0
182,17,50,23.04,0.0,-0.48,25.0
182,17,60,23.04,0.0,-0.48,25.0
182,18,10,23.04,0.0,-0.48,25.0
182,18,25,23.04,0.0,-0.48,25.0
182,18,35,23.04,0.0,-0.48,25.0
182,18,45,23.04,0.0,-0.48,25.0
182,18,55,23.04,0.0,-0.48,25.0
