day,hour,minute,temperature_C,power_W,pmv
182,0,10,23.09,0.0,-0.46
182,0,20,23.08,0.0,-0.46
182,0,30,23.08,0.0,-0.46
182,0,40,23.07,0.0,-0.46
182,0,50,23.07,0.0,-0.47
182,0,60,23.06,0.0,-0.47
182,1,10,23.06,0.0,-0.47
182,1,20,23.05,0.0,-0.48
182,1,30,23.04,0.0,-0.48
182,1,40,23.03,0.0,-0.48
182,1,50,23.02,0.0,-0.49
182,1,60,23.02,0.0,-0.49
182,2,10,23.01,0.0,-0.5
182,2,20,23.0,0.0,-0.5
182,2,30,22.99,0.0,-0.51
182,2,40,22.98,0.0,-0.51
182,2,50,22.97,0.0,-0.52
182,2,60,22.96,0.0,-0.52
182,3,10,22.95,0.0,-0.52
182,3,20,22.94,0.0,-0.53
182,3,30,22.93,0.0,-0.53
182,3,40,22.92,0.0,-0.54
182,3,50,22.91,0.0,-0.55
182,3,60,22.9,0.0,-0.55
182,4,10,22.89,0.0,-0.55
182,4,20,22.89,0.0,-0.56
182,4,30,22.88,0.0,-0.56
182,4,40,22.87,0.0,-0.56
182,4,50,22.87,0.0,-0.57
182,4,60,22.86,0.0,-0.57
182,5,10,22.86,0.0,-0.57
182,5,20,22.85,0.0,-0.58
182,5,30,22.84,0.0,-0.58
182,5,40,22.84,0.0,-0.58
182,5,50,22.83,0.0,-0.58
182,5,60,22.83,0.0,-0.58
182,6,15,22.83,0.0,-0.59
182,6,25,22.83,0.0,-0.59
182,6,35,22.83,0.0,-0.59
182,6,45,22.82,0.0,-0.59
182,6,55,22.82,0.0,-0.59
182,6,65,22.82,0.0,-0.59
182,7,15,22.83,0.0,-0.59
182,7,25,22.84,0.0,-0.58
182,7,35,22.84,0.0,-0.58
182,7,45,22.85,0.0,-0.57
182,7,55,22.86,0.0,-0.57
182,7,65,22.88,0.0,-0.56
182,8,15,22.89,0.0,-0.56
182,8,25,22.9,0.0,-0.55
182,8,35,22.91,0.0,-0.55
182,8,43,22.92,0.0,-0.54
182,8,53,22.93,0.0,-0.53
182,8,63,22.95,0.0,-0.53
